google_link,lon,lat,co_entidade,no_entidade,code_muni,name_muni,SearchedAddress,MatchedAddress,PrecisionDepth,geocode_engine,n_vizinhos
"https://www.google.com/maps/@-23.4813299,-46.7626941,19z",-46.7626941,-23.4813299,35058185,CEU EMEF VILA ATLANTICA,3550308,Sao Paulo,"CORONEL JOSE VENANCIO DIAS, 840 JARAGUA. 05160-030 São Paulo - SP.","R. Cel. José Venâncio Dias, 840 - Jaraguá, São Paulo - SP, 05160-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4813299,-46.7626941,19z",-46.7626941,-23.4813299,35058191,CEU EMEI VILA ATLANTICA,3550308,Sao Paulo,"CORONEL JOSE VENANCIO DIAS, 840 JARAGUA. 05160-030 São Paulo - SP.","R. Cel. José Venâncio Dias, 840 - Jaraguá, São Paulo - SP, 05160-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4813299,-46.7626941,19z",-46.7626941,-23.4813299,35058208,CEU CEI VILA ATLANTICA,3550308,Sao Paulo,"CORONEL JOSE VENANCIO DIAS, 840 JARAGUA. 05160-030 São Paulo - SP.","R. Cel. José Venâncio Dias, 840 - Jaraguá, São Paulo - SP, 05160-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4813299,-46.7626941,19z",-46.7626941,-23.4813299,35455659,CEU AT COMPL VILA ATLANTICA - JOAO SOARES FILHO PROF,3550308,Sao Paulo,"CORONEL JOSE VENANCIO DIAS, 840 JARAGUA. 05160-030 São Paulo - SP.","R. Cel. José Venâncio Dias, 840 - Jaraguá, São Paulo - SP, 05160-030, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.4057127,-46.7513843,19z",-46.7513843,-23.4057127,35058075,CEU EMEF PERUS,3550308,Sao Paulo,"BERNARDO JOSE DE LORENA, S/N VILA FANTON. 05203-200 São Paulo - SP.","R. Bernardo José de Lorena - Perus, São Paulo - SP, 05203-200, Brazil",route,gmaps_prob1,3
"https://www.google.com/maps/@-23.4057127,-46.7513843,19z",-46.7513843,-23.4057127,35058087,CEU CEI PERUS,3550308,Sao Paulo,"BERNARDO JOSE DE LORENA, S/N VILA FANTON. 05203-200 São Paulo - SP.","R. Bernardo José de Lorena - Perus, São Paulo - SP, 05203-200, Brazil",route,gmaps_prob1,3
"https://www.google.com/maps/@-23.4057127,-46.7513843,19z",-46.7513843,-23.4057127,35242226,CEU EMEI JORGE AMADO,3550308,Sao Paulo,"BERNARDO JOSE DE LORENA, S/N VILA FANTON. 05203-200 São Paulo - SP.","R. Bernardo José de Lorena - Perus, São Paulo - SP, 05203-200, Brazil",route,gmaps_prob1,3
"https://www.google.com/maps/@-23.4057127,-46.7513843,19z",-46.7513843,-23.4057127,35455465,CEU AT COMPL PERUS,3550308,Sao Paulo,"BERNARDO JOSE DE LORENA, S/N VILA FANTON. 05203-200 São Paulo - SP.","R. Bernardo José de Lorena - Perus, São Paulo - SP, 05203-200, Brazil",route,gmaps_prob1,3
"https://www.google.com/maps/@-23.5826574,-46.749982,19z",-46.749982,-23.5826574,35056996,CEU EMEF BUTANTA,3550308,Sao Paulo,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870 JARDIM ESMERALDA. 05588-001 São Paulo - SP.","Av. Eng. Heitor Antônio Eiras García, 1870 - Jardim Esmeralda, São Paulo - SP, 05371, Brazil",street_number,gmaps_prob1,3
"https://www.google.com/maps/@-23.5826574,-46.749982,19z",-46.749982,-23.5826574,35057022,CEU EMEI BUTANTA,3550308,Sao Paulo,"ENGENHEIRO HEITOR ANTONIO EIRAS GARCIA, 1870 JARDIM ESMERALDA. 05588-001 São Paulo - SP.","Av. Eng. Heitor Antônio Eiras García, 1870 - Jardim Esmeralda, São Paulo - SP, 05371, Brazil",street_number,gmaps_prob1,3
