id_hex,id_estab,total_2017,input_2017,total_2018,input_2018,razao_social
89a8a06e503ffff,33641788001570,8,rais_2017,11,rais_2017,INSTITUTO BRASIL ESTADOS UNIDOS
89a8a06e503ffff,33709171001034,63,rais_2017,59,rais_2017,CRUZADA DO MENOR
89a8a06e503ffff,34075739005810,183,rais_2017,149,rais_2017,SOCIEDADE DE ENSINO SUPERIOR ESTACIO DE SA
89a8a06e503ffff,34591060700135,,,2,new_estab_2018,JANDIRA FATIMA GOMES BARBOZA
89a8a06e503ffff,35820448000136,,,4,new_estab_2018,WHITE MARTINS GASES INDUSTRIAIS LTDA
89a8a06e503ffff,35820448018930,403,rais_2017,403,rais_2017,WHITE MARTINS GASES INDUSTRIAIS LTDA
89a8a06e503ffff,35820448020161,164,rais_2017,157,rais_2017,WHITE MARTINS GASES INDUSTRIAIS LTDA
89a8a06e503ffff,35820448020323,34,rais_2017,34,rais_2017,WHITE MARTINS GASES INDUSTRIAIS LTDA
89a8a06e503ffff,39527106000183,62,rais_2017,20,rais_2017,ENGEARQ CONSTRUCOES LTDA
89a8a06e503ffff,39934781000127,2,rais_2017,3,rais_2017,CASA LOTERICA TIO PATINHAS LTDA ME
89a8a06e503ffff,39939715000140,5,rais_2017,8,rais_2017,LIMPATEX RIO COM E REPRESENT EIRELI
89a8a06e503ffff,40224172000163,2,rais_2017,2,rais_2017,ASSOCIACAO BRASILEIRA DE CONTROLE DE VETORES
89a8a06e503ffff,40432544051728,18,rais_2017,17,rais_2017,CLARO S A LS RE NOVA AMERICA RIO DE JANEIRO
89a8a06e503ffff,42223982000120,4,rais_2017,5,rais_2017,POMPADOU R PRESENTES LTDA
89a8a06e503ffff,42225938003256,16,rais_2017,14,rais_2017,CSB DROGARIAS S/A
89a8a06e503ffff,42225938004813,17,rais_2017,16,rais_2017,CSB DROGARIAS S/A
89a8a06e503ffff,42234286000110,16,rais_2017,15,rais_2017,POSTO COELHINHO LTDA
89a8a06e503ffff,42274696001247,25,rais_2017,17,rais_2017,ADIDAS DO BRASIL LTDA
89a8a06e503ffff,42591651130861,83,rais_2017,82,rais_2017,ARCOS DOURADOS COM LTDA
89a8a06e503ffff,43103189700148,,,1,new_estab_2018,ANNA MARIA LUTERIO
89a8a06e503ffff,43283811002446,33,rais_2017,39,rais_2017,KALUNGA COM IND GRAF LTDA
89a8a06e503ffff,50564053001185,128,rais_2017,124,rais_2017,BOMBRIL S/A (RIO DE JANEIRO)
89a8a06e503ffff,53249017001700,12,rais_2017,15,rais_2017,ASICS BRASIL DIST E COM DE ART ESP LTDA
89a8a06e503ffff,56681513002880,41,rais_2017,37,rais_2017,PKK CALCADOS LTDA
89a8a06e503ffff,58731662004109,20,rais_2017,20,rais_2017,RI HAPPY BRINQUEDOS S A
89a8a06e503ffff,60746948582146,11,rais_2017,10,rais_2017,BANCO BRADESCO S A
89a8a06e503ffff,61486650056138,35,rais_2017,33,rais_2017,DIAGNOSTICOS DA AMERICASA
89a8a06e503ffff,61585865180036,13,rais_2017,13,rais_2017,RAIA DROGASIL S A
89a8a06e503ffff,61777009009588,7,rais_2017,7,rais_2017,LE SAC COM CENTER COUROS LTDA
89a8a06e503ffff,66970229020788,12,rais_2017,9,rais_2017,NEXTEL TELECOMUNICACOES LTDA.
89a8a06e503ffff,73264129000180,2,rais_2017,3,rais_2017,NA 2000 CONFECCOES LTDA ME
89a8a06e503ffff,73829962000121,37,rais_2017,40,rais_2017,PROENARC ENGENHARIA FUNDACOES LTDA
89a8a06e503ffff,78144779700103,,,1,new_estab_2018,CARLOS HAMILTON SOUTO VASQUES
89a8a06e503ffff,84453844018206,9,rais_2017,10,rais_2017,TELLERINA COM DE PRES ART PARA DECOR SA
89a8a06e503ffff,89237911023353,14,rais_2017,11,rais_2017,GLOBAL DISTRIBUICAO LTDA
89a8a06e503ffff,92559830001224,10,rais_2017,11,rais_2017,GREEN CARD SA REFEICOES COM E SERV RJ
89a8a06e503ffff,92754738022999,57,rais_2017,58,rais_2017,LOJAS RENNER S/A
89a8a06e503ffff,96534094003416,311,rais_2017,360,rais_2017,ACCENTURE DO BRASIL LTDA - RJ - NOVA AMERICA
